2026-04-27 18:04:27.281250
segundo,ampere,volt,NA,segundo,volt,volt
Tiempo,Corriente,Pulso,CantidadPulsos,AnchoPulso,Tension fija,Vds
2.234000000000009,0.00041734,2.0,0,0.3,0,-5
2.237000000000009,0.00041734,2.0,0,0.3,0,-5
2.240000000000009,0.00041734,2.0,0,0.3,0,-5
2.243000000000009,0.00041734,2.0,0,0.3,0,-5
2.2460000000000093,0.00041734,2.0,0,0.3,0,-5
2.2490000000000094,0.00041734,2.0,0,0.3,0,-5
2.2520000000000095,0.00041734,2.0,0,0.3,0,-5
2.2550000000000097,0.00041734,2.0,0,0.3,0,-5
2.2580000000000098,0.00041734,2.0,0,0.3,0,-5
2.26100000000001,0.00041734,2.0,0,0.3,0,-5
2.26400000000001,0.00041734,2.0,0,0.3,0,-5
2.26700000000001,0.00041734,2.0,0,0.3,0,-5
2.2700000000000102,0.00041734,2.0,0,0.3,0,-5
2.2730000000000103,0.00041734,2.0,0,0.3,0,-5
2.2760000000000105,0.00041734,2.0,0,0.3,0,-5
2.2790000000000106,0.00041734,2.0,0,0.3,0,-5
2.2820000000000107,0.00041734,2.0,0,0.3,0,-5
2.285000000000011,0.00041734,2.0,0,0.3,0,-5
2.288000000000011,0.00041734,2.0,0,0.3,0,-5
2.291000000000011,0.00041734,2.0,0,0.3,0,-5
2.294000000000011,0.00041734,2.0,0,0.3,0,-5
2.2970000000000113,0.00041734,2.0,0,0.3,0,-5
2.3000000000000114,0.00041734,2.0,0,0.3,0,-5
2.3030000000000115,0.00041734,0,0,0.3,0,-5
2.3060000000000116,0.00041734,0,0,0.3,0,-5
2.3090000000000117,0.00041734,0,0,0.3,0,-5
2.312000000000012,0.00041734,0,0,0.3,0,-5
2.315000000000012,0.00041734,0,0,0.3,0,-5
2.318000000000012,0.00041734,0,0,0.3,0,-5
2.321000000000012,0.00041734,0,0,0.3,0,-5
2.3240000000000123,0.00041734,0,0,0.3,0,-5
2.3270000000000124,0.00041734,0,0,0.3,0,-5
2.3300000000000125,0.00041734,0,0,0.3,0,-5
2.3330000000000126,0.00041734,0,0,0.3,0,-5
2.3360000000000127,0.00041734,0,0,0.3,0,-5
2.339000000000013,0.00041734,0,0,0.3,0,-5
2.342000000000013,0.00041734,0,0,0.3,0,-5
2.345000000000013,0.00041734,0,0,0.3,0,-5
2.348000000000013,0.00041734,0,0,0.3,0,-5
2.3510000000000133,0.00041734,0,0,0.3,0,-5
2.3540000000000134,0.00041734,0,0,0.3,0,-5
2.3570000000000135,0.00041734,0,0,0.3,0,-5
2.3600000000000136,0.00041734,0,0,0.3,0,-5
2.3630000000000138,0.00041734,0,0,0.3,0,-5
2.366000000000014,0.00041734,0,0,0.3,0,-5
